Site,DateTime,StageHt,Flow,Temp,EC25,Turb,Precip
,MM/dd/yyyy HH:mm:ss,m,m3/sec,deg C,uS/cm,NTU,inches
Tischer2020,05/05/2020 11:30:00,0.518,1.36,7.00,370,,
Tischer2020,05/05/2020 11:45:00,0.518,1.36,7.18,370,,
Tischer2020,05/05/2020 12:00:00,0.518,1.36,7.38,371,,
Tischer2020,05/05/2020 12:15:00,0.518,1.36,7.55,371,,
Tischer2020,05/05/2020 12:30:00,0.518,1.36,7.72,371,,
Tischer2020,05/05/2020 12:45:00,0.518,1.36,7.87,372,,
Tischer2020,05/05/2020 13:00:00,0.518,1.36,8.05,372,,
Tischer2020,05/05/2020 13:15:00,0.518,1.36,8.25,372,,
Tischer2020,05/05/2020 13:30:00,0.518,1.36,8.45,372,,
Tischer2020,05/05/2020 13:45:00,0.518,1.36,8.62,373,,
Tischer2020,05/05/2020 14:00:00,0.518,1.36,8.77,373,,
Tischer2020,05/05/2020 14:15:00,0.518,1.36,8.88,373,,
Tischer2020,05/05/2020 14:30:00,0.518,1.36,8.97,373,,
Tischer2020,05/05/2020 14:45:00,0.518,1.36,9.05,373,,
Tischer2020,05/05/2020 15:00:00,0.518,1.36,9.13,373,,
Tischer2020,05/05/2020 15:15:00,0.488,1.27,9.19,374,,
Tischer2020,05/05/2020 15:30:00,0.518,1.36,9.28,373,,
Tischer2020,05/05/2020 15:45:00,0.518,1.36,9.37,373,,
Tischer2020,05/05/2020 16:00:00,0.518,1.36,9.42,373,,
Tischer2020,05/05/2020 16:15:00,0.518,1.36,9.45,374,,
Tischer2020,05/05/2020 16:30:00,0.518,1.36,9.50,374,,
Tischer2020,05/05/2020 16:45:00,0.488,1.27,9.53,375,,
Tischer2020,05/05/2020 17:00:00,0.518,1.36,9.55,375,,
Tischer2020,05/05/2020 17:15:00,0.518,1.36,9.59,375,,
Tischer2020,05/05/2020 17:30:00,0.518,1.36,9.60,375,,
Tischer2020,05/05/2020 17:45:00,0.518,1.36,9.61,374,,
Tischer2020,05/05/2020 18:00:00,0.488,1.27,9.57,375,,
Tischer2020,05/05/2020 18:15:00,0.488,1.27,9.53,375,,
Tischer2020,05/05/2020 18:30:00,0.518,1.36,9.49,375,,
Tischer2020,05/05/2020 18:45:00,0.488,1.27,9.43,375,,
Tischer2020,05/05/2020 19:00:00,0.518,1.36,9.36,375,,
Tischer2020,05/05/2020 19:15:00,0.488,1.27,9.28,375,,
Tischer2020,05/05/2020 19:30:00,0.518,1.36,9.21,375,,
Tischer2020,05/05/2020 19:45:00,0.518,1.36,9.13,375,,
Tischer2020,05/05/2020 20:00:00,0.518,1.36,9.06,375,,
Tischer2020,05/05/2020 20:15:00,0.518,1.36,8.97,375,,
