Tischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN DNR Hydstra #,H02039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCA Station ID,S004-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,,,,,,,,,
Stream,Date,Time,condition,Qualitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,(mg/L),(mg/L), NTU,tube (cm),(mg/L),(mg/L),(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),(mg/L),,METADATA NOTES:,,,,,,,,,
Tischer Creek,3/21/03,14:35,"0.1"" rain/snow",S,N/A,0.2,13.56,96.94,1216,728,315,48.7,18,49,169,777,6.93,61,40,290,3140,606,33,639,80,<20,"holding time exceeded for fecals,op, and bod",fecals = fecal coliform bacteria; cfu/100 mL = colony forming units per 100 mL,,,,,,,,,
Tischer Creek,3/23/03,16:10,snow melt hi temp=560 F,S,N/A,0.2,12.66,90.51,380,294,80,42.9,15,66,140,360,7.13,46,50,310,2384,189,17,206,230,24,"holding time exceeded for fecals,op, and bod",BOD5 = 5 day biochemical oxygen demand,,,,,,,,,
Tischer Creek,3/28/03,10:30,"10.1"" snow (0.62"" rain), 3/27 & 3/28",S,N/A,0.1,12.14,86.55,3519,1520,860,63.8,11,43,108,1563,7.46,73,30,160,1166,317,251,568,20,<3,,,,,,,,,,,
Tischer Creek,4/9/03,15:45,"12.5"" snow (0.88' rain) 4/1-4/4 snow melt hi temp=550 F ",S,5,N/A,N/A,N/A,258,N/A,50,112.0,7.5,291,,#VALUE!,7.06,31,14,85,1255,299,66,365,N/A,12,,,,,,,,,,,
Tischer Creek,5/9/03,11:20,"0.93"" rain",R,80,6.7,10.96,93.02,213,150,40,122.0,9,173,89,323,7.69,47,40,260,1042,423,122,545,790,7,,,,,,,,,,,
Tischer Creek,5/19/03,17:30,"1.85"" rain 5/19",R,168,12.1,9.87,95.42,246,170,36,45.6,61,110,87,280,N/A,N/A,20,170,1339,399,51,450,790,4,,,,,,,,,,,
Tischer Creek,6/10/03,12:45,"0.51"" rain",R,8,12.9,9.48,93.30,256,166,38,16.9,46,6,42,172,7.87,66,20,70,561,177,15,192,1200,3(LOD),LOD=Limit Of Detection,,,,,,,,,,
Tischer Creek,7/7/03,9:00,"1.07"" rain 7/6-7/7",R,9,17.0,7.82,84.16,215,181,33,19.7,32,12,57,193,7.80,73,30,80,869,432,67,499,N/A,3(LOD),LOD=Limit Of Detection,,,,,,,,,,
Tischer Creek,7/28/03,7:51,Low flow sample,B,4,N/A,N/A,N/A,458,266,65,N/A,>124,1(LOD),48,267,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,40,3(LOD),"holding time exceeded for BOD, LOD=Limit Of Detection, T-Solids calc uses 1/2 of TSS LOD",,,,,,,,,,
Tischer Creek,9/3/03,9:05,low flow sample,B,4,14.1,9.01,91.10,469,305,66,5.4,>124,1,97,306,8.03,135,20,30,562,322,15,337,22,3(LOD),LOD=Limit Of Detection,,,,,,,,,,
